case_id,source_file,query,interval,ticker,observations,start_observed,end_observed,missing_close,missing_volume,zero_volume_rows,first_close,last_close,total_return_pct,mean_return_pct,volatility_ann_pct,min_daily_return_pct,max_daily_return_pct,max_drawdown_pct
aapl_en_3_meses,aapl_en_3_meses.csv,AAPL en 3 meses,1d,AAPL,60,2025-12-17,2026-03-16,0,0,0,271.839996,252.820007,-6.9968,-0.1115,24.1456,-4.9982,4.0581,-10.0676
compara_nvidia_y_amd_en_2_aos,compara_nvidia_y_amd_en_2_aos.csv,Compara Nvidia y AMD en 2 años,1d,AMD,500,2024-03-18,2026-03-16,0,0,0,190.649994,196.580002,3.1104,0.0666,55.098,-17.3144,23.8205,-58.9772
compara_nvidia_y_amd_en_2_aos,compara_nvidia_y_amd_en_2_aos.csv,Compara Nvidia y AMD en 2 años,1d,NVDA,500,2024-03-18,2026-03-16,0,0,0,88.455002,183.220001,107.1336,0.1943,49.4164,-16.9682,18.7227,-36.8868
cunto_ha_crecido_nvidia_en_5_aos,cunto_ha_crecido_nvidia_en_5_aos.csv,Cuánto ha crecido Nvidia en 5 años,1d,NVDA,1255,2021-03-17,2026-03-16,0,0,0,13.34125,183.220001,1273.3345,0.2616,51.3115,-16.9682,24.3696,-66.3621
datos_de_bitcoin_desde_20240101_hasta_20241231,datos_de_bitcoin_desde_20240101_hasta_20241231.csv,Datos de Bitcoin desde 2024-01-01 hasta 2024-12-31,1d,BTC-USD,365,2024-01-01,2024-12-30,0,0,0,44167.332031,92643.210938,109.7551,0.2425,44.1305,-8.3434,12.1443,-26.182
descrgame_el_histrico_del_sp_500_desde_2020,descrgame_el_histrico_del_sp_500_desde_2020.csv,Descárgame el histórico del S&P 500 desde 2020,1d,^GSPC,1558,2020-01-02,2026-03-16,0,0,1,3257.850098,6699.379883,105.6381,0.0548,20.765,-11.9841,9.5154,-33.925
eurusd_en_10_das_a_1h,eurusd_en_10_das_a_1h.csv,EUR/USD en 10 días a 1h,1h,EURUSD=X,224,2026-03-04,2026-03-17,0,0,224,1.159689,1.151145,-0.7367,-0.0032,9.1182,-0.8641,0.3703,-2.1012
qqq_y_spy_desde_20240101_hasta_20241231,qqq_y_spy_desde_20240101_hasta_20241231.csv,QQQ y SPY desde 2024-01-01 hasta 2024-12-31,1d,QQQ,251,2024-01-02,2024-12-30,0,0,0,402.589996,515.609985,28.0732,0.1054,17.9893,-3.6077,3.0591,-13.5577
qqq_y_spy_desde_20240101_hasta_20241231,qqq_y_spy_desde_20240101_hasta_20241231.csv,QQQ y SPY desde 2024-01-01 hasta 2024-12-31,1d,SPY,251,2024-01-02,2024-12-30,0,0,0,472.649994,588.219971,24.4515,0.0907,12.6283,-2.9803,2.4866,-8.4056
quiero_el_oro_en_1_semana_a_1h,quiero_el_oro_en_1_semana_a_1h.csv,Quiero el oro en 1 semana a 1h,1h,GC=F,116,2026-03-10,2026-03-17,0,0,6,5186.600098,5003.299805,-3.5341,-0.0308,23.2157,-1.208,0.7905,-4.937
